text,label
"Cannot access the student portal I have been unable to log into my student account for 3 days. Password reset email is not arriving.","IT SUPPORT"
"LMS keeps crashing on upload Every time I try to submit a file on the Learning Management System, the page crashes.","IT SUPPORT"
"Two-factor auth not working The OTP SMS is arriving but the system says it is invalid. Tried 5 times.","IT SUPPORT"
"VPN access request I need VPN access to connect to the university library database for my thesis research.","IT SUPPORT"
"Email quota exceeded My university email is returning an error that my quota is full.","IT SUPPORT"
"Slow internet in computer lab The computers in Room 302 have extremely slow internet, making online exams very difficult.","IT SUPPORT"
"Cannot download transcript PDF The download button for the official transcript PDF produces a blank document.","IT SUPPORT"
"Portal shows white screen When I log in using my Chrome browser the portal just shows a blank white screen.","IT SUPPORT"
"Forgot my password How can I reset my password if I no longer have access to my secondary email?","IT SUPPORT"
"Wifi connection lost The campus wifi keeps disconnecting every 5 minutes in the Engineering building.","IT SUPPORT"
"Enrollment form not submitted I completed the enrollment form but it says 'Pending' and never moved to 'Approved'.","REGISTRAR"
"Name misspelling on official documents My surname is spelled 'Cruz' on my COR but 'Crux' on the official transcript.","REGISTRAR"
"Request for certified true copy I need a certified true copy of my grades for a scholarship application.","REGISTRAR"
"Late enrollment clearance I missed the enrollment deadline due to a medical emergency. Requesting clearance.","REGISTRAR"
"Subject prerequisite waiver Requesting a waiver for ITE 3 prerequisite. I have equivalent knowledge from prior university.","REGISTRAR"
"Missing grade in semester record CS 205 does not appear in my semester record even though I attended and passed.","REGISTRAR"
"COR correction request My Certificate of Registration has the wrong section number listed for two subjects.","REGISTRAR"
"Change of major process What are the requirements and deadlines for shifting from BSBA to BSCS?","REGISTRAR"
"Diploma availability Has the batch of 2024 diplomas been released for pickup yet?","REGISTRAR"
"Add/Drop subjects I want to add one more elective to my current semester schedule.","REGISTRAR"
"Scholarship grant not credited My CHED scholarship grant for this semester has not been reflected in my balance.","FINANCE"
"Installment plan request Due to financial hardship I am requesting to pay my tuition in three installments.","FINANCE"
"Duplicate charge on billing statement I was charged twice for the miscellaneous fee. Both entries appear on my billing statement.","FINANCE"
"Refund for dropped subject I officially dropped CS Elec 3 within the refund period but have not received the refund.","FINANCE"
"Payment receipt not recorded I paid at the cashier on March 14 but the portal still shows an unpaid balance.","FINANCE"
"Wrong amount in billing statement My billing statement shows PHP 2,500 for laboratory fees but the actual rate is PHP 1,500.","FINANCE"
"Late payment penalty waiver I was charged a late payment penalty due to a bank processing delay. Requesting waiver.","FINANCE"
"Cashier operating hours What time does the university cashier open for tuition payments?","FINANCE"
"Promissory note for exams Can I submit a promissory note to take the final exams even if I have an outstanding balance?","FINANCE"
"Check payment verification I paid via check 3 days ago. How long does it take for the balance to update?","FINANCE"
"Syllabus for next semester Where can I find the updated syllabus for the incoming 3rd year CS students?","ACADEMIC AFFAIRS"
"Professor not attending class Our instructor for MATH 101 hasn't shown up for the last two sessions.","ACADEMIC AFFAIRS"
"Curriculum update for 2025 Are there any changes to the required subjects for the next academic year?","ACADEMIC AFFAIRS"
"Internship requirements What are the academic prerequisites for starting the OJT or internship program?","ACADEMIC AFFAIRS"
"Consultation hours for faculty I would like to know when Professor Santos is available for academic consultation.","ACADEMIC AFFAIRS"
"Inquiry about honor society What are the GWA requirements to be admitted into the University Honor Society?","ACADEMIC AFFAIRS"
"Book requirements for literature Which version of 'The Great Gatsby' are we required to purchase for the English class?","ACADEMIC AFFAIRS"
"Request for course description I need the official course descriptions for my subjects to apply for a credit transfer.","ACADEMIC AFFAIRS"
"Clarification on grading system Is the 1.0 to 5.0 grading scale used for all departments in the university?","ACADEMIC AFFAIRS"
"Thesis defense schedule When will the preliminary defense schedules be posted for the final year projects?","ACADEMIC AFFAIRS"
